name_customer,cust_number,invoice_creation_date,invoice_due_date,clear_date,total_open_amount
WAL-MAR systems,200769623,2019-08-23,2019-08-23,2019-08-23,13835.93
COST corporation,200794332,2019-03-14,2019-03-14,2019-03-14,30220.01
WAL-MAR us,200769623,2019-05-27,2019-05-27,2019-05-27,22.0
COAS systems,200337148,2019-08-21,2019-08-21,2019-08-21,23027.96
WAL-MAR foundation,200769623,2019-01-28,2019-01-28,2019-01-28,4220.64
SAFEW us,200772595,2019-05-06,2019-05-06,2019-05-06,13734.98
SUPE ,200936373,2019-01-31,2019-01-31,2019-01-31,129334.62
US  ,200571849,2019-11-08,2019-11-08,2019-11-08,15401.15
WAL-MAR co,200769623,2019-09-23,2019-09-23,2019-09-23,54230.18
DELHAIZE systems,100031704,2019-09-23,2019-09-23,,47501.22
SA us,200729942,2019-10-29,2019-10-29,2019-10-29,9455.66
ASSOCIAT trust,200772670,2019-10-21,2019-10-21,2019-10-21,126.66
ARMY associates,200754118,2019-03-22,2019-03-22,2019-03-22,111.36
SO co,140104440,2019-06-06,2019-06-06,2019-06-06,228229.18
KRAFT F corporation,CCU013,2020-03-27,2020-03-27,2020-03-27,1082.2
C&S WH associates,200762301,2020-03-27,2020-03-27,,105154.04
WAL-MAR ,200769623,2019-02-15,2019-02-15,2019-02-15,1235.26
SYSC us,140105686,2019-02-15,2019-02-15,,17486.46
SA co,200759878,2019-09-11,2019-09-11,2019-09-11,97822.34
PUBLI foundation,200707822,2019-09-11,2019-09-11,,113676.06
WAL-MAR ,200769623,2019-02-26,2019-02-26,2019-02-26,665.62
PRIC systems,140103480,2019-06-28,2019-06-28,2019-06-28,73275.3
REINHA in,200756072,2019-06-28,2019-06-28,,79160.72
WAL-MAR ,200769623,2019-06-28,2019-06-28,,22534.28
TARG corporation,200744019,2019-05-30,2019-05-30,2019-05-30,23030.81
WAL-M ,140106408,2019-06-11,2019-06-11,2019-06-11,68853.77
BJ'S  co,200726979,2019-09-11,2019-09-11,2019-09-11,495.99
PROFIC corp,200783609,2019-09-04,2019-09-04,2019-09-04,6475.94
KRAFT F trust,CCU013,2019-08-02,2019-08-02,2019-08-02,23095.4
JET corp,200152991,2019-02-06,2019-02-06,2019-02-06,2275.59
H E BUT co,200761734,2019-08-01,2019-08-01,2019-08-01,10779.55
AFFILI corp,200779051,2019-08-01,2019-08-01,,46281.9
WAKE associates,200704858,2020-03-05,2020-03-05,2020-03-05,119078.92
DEC ,200416837,2019-11-08,2019-11-08,2019-11-08,167.64
HY -  ,200795490,2019-03-08,2019-03-08,2019-03-08,39426.41
DEMOU ,200793088,2019-11-05,2019-11-05,2019-11-05,17854.08
WAL-MAR systems,200769623,2019-09-06,2019-09-06,2019-09-06,1897.5
C&S WH ,200762301,2019-11-21,2019-11-21,2019-11-21,58310.51
H E BUT ,200761734,2019-04-10,2019-04-10,2019-04-10,83480.3
DOT in,200705742,2019-06-28,2019-06-28,2019-06-28,37805.25
KROGER systems,200793513,2019-11-07,2019-11-07,2019-11-07,62370.16
BJ'S  in,200726979,2019-03-06,2019-03-06,2019-03-06,132.04
DAIRY trust,200788848,2019-11-27,2019-11-27,2019-11-27,41737.92
WINC ,200706844,2019-07-22,2019-07-22,2019-07-22,102252.41
H E BUT foundation,200761734,2019-03-26,2019-03-26,2019-03-26,78161.53
C&S WH trust,200762301,2019-12-31,2019-12-31,2019-12-31,104866.59
WAL-MAR llc,200769623,2019-08-28,2019-08-28,2019-08-28,50010.56
WAL-MAR ,200769623,2019-08-28,2019-08-28,,35553.88
E&S trust,100043956,2019-08-28,2019-08-28,,4080.95
PUBLI systems,200707822,2019-05-28,2019-05-28,2019-05-28,21290.51
WAL-MAR corporation,200769623,2019-10-21,2019-10-21,2019-10-21,1991.84
SYSCO F foundation,200718130,2019-03-20,2019-03-20,2019-03-20,25807.44
DECA associates,200353024,2019-03-20,2019-03-20,,2029.3
KRAFT F systems,CCU013,2019-12-20,2019-12-20,2019-12-20,281.68
COST associates,200794332,2019-01-22,2019-01-22,2019-01-22,1004.9
DELHAIZE corporation,100031704,2019-07-22,2019-07-22,2019-07-22,99262.11
ASSOCIAT associates,200772670,2019-08-22,2019-08-22,2019-08-22,17737.19
DEC us,200416837,2019-08-22,2019-08-22,,8424.38
BROOKS llc,200727272,2019-08-22,2019-08-22,,2829.18
COST corporation,200794332,2020-02-20,2020-02-20,2020-02-20,62408.16
WAL-MAR associates,200769623,2019-05-01,2019-05-01,2019-05-01,20265.15
UNITE ,200696090,2019-04-02,2019-04-02,2019-04-02,4962.34
COST in,200794332,2019-04-22,2019-04-22,2019-04-22,8041.59
WAL-MAR corp,200769623,2020-01-27,2020-01-27,2020-01-27,5126.33
C&S WH ,200762301,2020-01-27,2020-01-27,,63557.31
WAL-MAR llc,200769623,2020-02-10,2020-02-10,2020-02-10,15451.74
SUPE ,200793568,2019-04-19,2019-04-19,2019-04-19,2450.94
WAL-MAR co,200769623,2020-01-21,2020-01-21,2020-01-21,49501.09
KRAFT  associates,CCCA02,2019-06-28,2019-06-28,2019-06-28,16016.0
GORDO co,200782001,2019-05-13,2019-05-13,2019-05-13,12836.88
ASSOCIAT foundation,200772670,2019-06-17,2019-06-17,2019-06-17,34069.78
BJ'S  llc,200726979,2019-06-17,2019-06-17,,1064.79
BJ'S  systems,200726979,2019-04-17,2019-04-17,2019-04-17,569.82
SA associates,200759878,2019-04-17,2019-04-17,,29369.99
C&S WH corp,200762301,2019-05-21,2019-05-21,2019-05-21,24487.02
KROGER systems,200752302,2019-08-02,2019-08-02,2019-08-02,27171.95
DEC us,200803720,2020-02-10,2020-02-10,2020-02-10,173.38
WAL-MAR trust,200769623,2020-02-10,2020-02-10,,1329.23
WAL-MAR co,200769623,2019-07-01,2019-07-01,2019-07-01,39133.96
SYSC foundation,140105686,2019-07-01,2019-07-01,,33813.37
FEDER ,140104240,2019-07-01,2019-07-01,,83591.92
BAR foundation,200486270,2019-05-23,2019-05-23,2019-05-23,3088.8
WAL-MAR corporation,200769623,2020-01-23,2020-01-23,2020-01-23,15008.99
THE NO corp,140104552,2020-01-23,2020-01-23,,139641.96
WAL-MAR in,200769623,2019-08-20,2019-08-20,2019-08-20,369.91
TARG llc,200744019,2019-08-20,2019-08-20,,17506.13
TARG corporation,200744019,2019-08-20,2019-08-20,,17720.98
ASSOCIAT in,200772670,2019-08-20,2019-08-20,,3915.55
WINC llc,200706844,2019-07-15,2019-07-15,2019-07-15,36584.78
WAL-MAR us,200769623,2019-02-05,2019-02-05,2019-02-05,2999.92
PUBLI us,200707822,2019-05-06,2019-05-06,2019-05-06,96560.3
WAL-MAR corporation,200769623,2019-10-09,2019-10-09,2019-10-09,3735.81
NASH  corporation,200777735,2020-02-28,2020-02-28,2020-02-28,8391.95
DOLLAR llc,100001196,2019-10-23,2019-10-23,2019-10-23,57127.66
PUBLI corporation,200707822,2019-10-23,2019-10-23,,36859.97
SA llc,200729942,2019-11-19,2019-11-19,2019-11-19,5540.31
SHOPPE co,140105785,2019-02-08,2019-02-08,2019-02-08,21435.56
DEC corp,200020431,2019-07-12,2019-07-12,2019-07-12,11749.13
CO trust,200561861,2019-02-08,2019-02-08,2019-02-08,9715.68
ASSOCIAT llc,200772670,2019-02-08,2019-02-08,,70409.95
WAL-MAR associates,200769623,2019-03-21,2019-03-21,2019-03-21,16498.62
MBM  corp,200754278,2019-02-11,2019-02-11,2019-02-11,7753.05
AFFILI corporation,200779051,2019-02-11,2019-02-11,,87999.45
SUIS corp,200063296,2019-11-14,2019-11-14,2019-11-14,27705.14
DECA associates,200230690,2019-11-14,2019-11-14,,1133.74
JET corporation,200152991,2019-11-14,2019-11-14,,4570.9
QUI co,200742791,2019-07-23,2019-07-23,2019-07-23,31283.39
WAL-MAR co,200769623,2019-07-30,2019-07-30,2019-07-30,294.59
SAFEW trust,200772595,2019-02-19,2019-02-19,2019-02-19,96032.56
C in,200778870,2020-03-12,2020-03-12,2020-03-12,10637.89
WAL-MAR llc,200769623,2020-01-16,2020-01-16,2020-01-16,25376.66
KROGER associates,200748108,2020-01-16,2020-01-16,,3280.34
TARG trust,200744019,2019-12-06,2019-12-06,2019-12-06,24962.92
WAL-MAR us,200769623,2019-08-30,2019-08-30,2019-08-30,12046.82
SYSCO FO ,200780825,2019-08-02,2019-08-02,2019-08-02,20909.22
BJ'S  corp,200726979,2019-06-11,2019-06-11,2019-06-11,361.69
WAL-MAR systems,200769623,2019-12-30,2019-12-30,2019-12-30,18214.53
WAL-MAR llc,200769623,2019-12-30,2019-12-30,,6916.42
SO foundation,140104440,2019-06-19,2019-06-19,2019-06-19,33733.68
DELHAIZE corp,100031704,2019-03-12,2019-03-12,2019-03-12,45884.1
WAL-MAR corporation,200769623,2019-08-07,2019-08-07,2019-08-07,27119.49
US  foundation,200622385,2019-03-15,2019-03-15,2019-03-15,33003.07
WAL-MAR foundation,200769623,2019-07-31,2019-07-31,2019-07-31,6532.6
SMITH'S trust,200820380,2019-07-31,2019-07-31,,102917.13
WAL-MAR corporation,200769623,2019-04-10,2019-04-10,2019-04-10,598.1
DEC us,200803720,2020-03-02,2020-03-02,2020-03-02,452.64
EL GR trust,200761342,2019-09-06,2019-09-06,2019-09-06,63953.56
WAL-MAR systems,200769623,2019-09-30,2019-09-30,2019-09-30,36306.55
WAL-MAR ,200769623,2019-10-16,2019-10-16,2019-10-16,46357.89
WAL-MAR trust,200769623,2019-03-04,2019-03-04,2019-03-04,58934.03
LOB co,140104409,2019-12-20,2019-12-20,2019-12-20,123877.32
WAL-MAR associates,200769623,2019-03-08,2019-03-08,2019-03-08,15988.15
BJ'S  corporation,200726979,2019-12-30,2019-12-30,2019-12-30,747.15
FR trust,200705372,2019-10-07,2019-10-07,2019-10-07,117326.93
HONOR  trust,200553103,2019-07-01,2019-07-01,2019-07-01,30079.4
COAS associates,200337148,2019-08-15,2019-08-15,2019-08-15,37881.97
WAL-MAR trust,200769623,2019-10-17,2019-10-17,2019-10-17,8219.62
H E BUT ,200761734,2019-03-08,2019-03-08,2019-03-08,14242.47
WAL-MAR ,200769623,2020-01-15,2020-01-15,2020-01-15,91.07
WAL-MAR ,200769623,2019-08-20,2019-08-20,2019-08-20,55410.23
MDV/ ,200792734,2019-10-16,2019-10-16,2019-10-16,87878.8
PUBLI llc,200707822,2019-11-25,2019-11-25,2019-11-25,59161.19
WAL-MAR trust,200769623,2019-09-30,2019-09-30,2019-09-30,10561.55
FOOD  trust,200437182,2019-03-08,2019-03-08,2019-03-08,40490.9
WAL-MAR llc,200769623,2019-06-21,2019-06-21,2019-06-21,10638.09
KWI llc,200315290,2019-03-15,2019-03-15,2019-03-15,23156.08
SYSCO  co,200764795,2019-07-05,2019-07-05,2019-07-05,5806.02
METRO  foundation,140104423,2019-04-08,2019-04-08,2019-04-08,75812.88
WAL-MAR systems,200769623,2019-09-13,2019-09-13,2019-09-13,9514.27
C&S WH in,200762301,2020-01-23,2020-01-23,2020-01-23,9212.97
AM corp,200418007,2019-06-14,2019-06-14,2019-06-14,2408.09
WAL-MAR corp,200769623,2019-02-04,2019-02-04,2019-02-04,972.76
BJ'S  in,200726979,2019-02-04,2019-02-04,,1160.69
WAL-MAR in,200769623,2019-02-04,2019-02-04,,4272.86
PUBLI us,200707822,2019-02-04,2019-02-04,,49116.55
MEIJ associates,200780383,2019-10-03,2019-10-03,2019-10-03,140467.86
WAL-MAR trust,200769623,2019-10-03,2019-10-03,,47292.57
SAFEW trust,200772595,2019-12-19,2019-12-19,2019-12-19,3273.14
SO systems,140104440,2019-12-19,2019-12-19,,129395.35
DEC ,200416837,2019-09-16,2019-09-16,2019-09-16,1514.64
WAL-MAR corporation,200769623,2019-01-14,2019-01-14,2019-01-14,16538.92
SA associates,200759878,2019-04-11,2019-04-11,2019-04-11,14272.22
AL us,200739006,2020-02-21,2020-02-21,2020-02-21,49211.26
KROGER us,200752302,2019-03-04,2019-03-04,2019-03-04,22259.22
C&S WH llc,200762301,2020-02-14,2020-02-14,2020-02-14,5210.78
ALBER llc,200750051,2019-06-18,2019-06-18,2019-06-18,58481.15
WINC us,200706844,2019-06-18,2019-06-18,,2037.58
SUPERB llc,200132251,2019-06-18,2019-06-18,,123.3
AM co,200418007,2019-06-18,2019-06-18,,1646.4
SYSCO  trust,200785971,2019-09-23,2019-09-23,2019-09-23,8826.68
SA corp,200759878,2019-06-07,2019-06-07,2019-06-07,5903.19
WAL-MAR associates,200769623,2019-07-03,2019-07-03,2019-07-03,43327.29
WAL-MAR corporation,200769623,2019-09-04,2019-09-04,2019-09-04,10902.32
WAL-MAR llc,200769623,2019-12-19,2019-12-19,2019-12-19,46564.78
ITWA corporation,140105000,2019-12-20,2019-12-20,2019-12-20,6056.4
DOT us,200705742,2019-10-09,2019-10-09,2019-10-09,10251.68
SAFEW us,200772595,2020-02-28,2020-02-28,2020-02-28,62858.72
SYSCO  systems,200764795,2019-12-11,2019-12-11,2019-12-11,7596.74
WINC foundation,200706844,2019-07-18,2019-07-18,2019-07-18,3522.36
PUBLI ,200707822,2020-02-24,2020-02-24,2020-02-24,82468.3
HOME R corp,100043949,2020-02-24,2020-02-24,,16992.76
SUPE us,200936373,2019-09-27,2019-09-27,2019-09-27,2584.35
MCLANE co,200126819,2019-05-28,2019-05-28,2019-05-28,21125.04
SAVE-ON- foundation,140104225,2019-04-22,2019-04-22,2019-04-22,64612.16
DOT llc,200705742,2019-03-22,2019-03-22,2019-03-22,10275.07
DECA llc,200230690,2019-09-16,2019-09-16,2019-09-16,1032.9
KRAFT F corp,CCU013,2019-03-29,2019-03-29,2019-03-29,9420.0
WAL-MAR trust,200769623,2019-02-05,2019-02-05,2019-02-05,1260.47
SUPE co,200793568,2019-11-12,2019-11-12,2019-11-12,49146.14
WAL-MAR foundation,200769623,2019-03-26,2019-03-26,2019-03-26,26934.8
PIGGLY corporation,200797984,2019-11-12,2019-11-12,2019-11-12,4212.76
SMITH'S ,200820380,2019-06-20,2019-06-20,2019-06-20,28600.62
DEC associates,200416837,2019-08-16,2019-08-16,2019-08-16,5255.26
SA in,200759878,2019-04-25,2019-04-25,2019-04-25,3191.41
RESTA co,200974851,2019-12-17,2019-12-17,2019-12-17,2609.33
US  trust,200793000,2020-02-21,2020-02-21,2020-02-21,22926.97
WINC ,200706844,2019-05-21,2019-05-21,2019-05-21,4931.11
QUI associates,200742791,2019-07-15,2019-07-15,2019-07-15,45527.85
ALBERT systems,200407025,2019-06-10,2019-06-10,2019-06-10,2301.6
C&S WH systems,200762301,2020-02-18,2020-02-18,2020-02-18,5955.76
DELHAIZE ,100031704,2020-02-18,2020-02-18,,106516.92
DOT systems,200705742,2019-04-11,2019-04-11,2019-04-11,2388.14
C&S WH llc,200762301,2019-04-11,2019-04-11,,50934.2
WAL-MAR foundation,200769623,2019-11-15,2019-11-15,2019-11-15,23636.04
BE associates,200806580,2019-10-30,2019-10-30,2019-10-30,7202.59
SYSCO F in,200718130,2019-10-30,2019-10-30,,45751.5
HAR foundation,200762950,2019-08-05,2019-08-05,2019-08-05,176864.32
WAL-MAR corp,200769623,2019-07-18,2019-07-18,2019-07-18,23468.92
AM co,200418007,2020-01-21,2020-01-21,2020-01-21,11636.6
SYSCO F ,200718130,2019-05-08,2019-05-08,2019-05-08,4282.01
WAL-MAR co,200769623,2020-01-14,2020-01-14,2020-01-14,13714.18
WAL-MAR us,200769623,2020-02-19,2020-02-19,2020-02-19,48601.93
SYSCO F corp,200736337,2019-05-14,2019-05-14,2019-05-14,7609.18
PUBLI corp,200707822,2019-05-14,2019-05-14,,7697.86
BJ'S  systems,200726979,2019-12-09,2019-12-09,2019-12-09,452.9
DEC foundation,200803720,2019-12-09,2019-12-09,,10503.26
COSTCO associates,140104429,2019-09-23,2019-09-23,2019-09-23,6595.02
COST corp,200794332,2019-12-05,2019-12-05,2019-12-05,17867.44
WINC llc,200706844,2019-02-19,2019-02-19,2019-02-19,23834.31
TARG associates,200744019,2019-05-03,2019-05-03,2019-05-03,56436.94
REINHA associates,200756072,2019-03-11,2019-03-11,2019-03-11,45133.08
QUI corp,200742791,2019-09-26,2019-09-26,2019-09-26,55723.68
BJ'S  foundation,200726979,2020-03-03,2020-03-03,2020-03-03,320.64
KRFT FDS systems,CCU002,2019-08-02,2019-08-02,2019-08-02,14390.4
WAL-MAR in,200769623,2019-06-25,2019-06-25,2019-06-25,25354.04
WAL-MAR corp,200769623,2020-02-14,2020-02-14,2020-02-14,106.67
PERISH foundation,200526831,2019-10-03,2019-10-03,2019-10-03,128970.52
WAL-MAR corporation,200769623,2019-01-10,2019-01-10,2019-01-10,3785.2
KING S corp,200707005,2019-05-15,2019-05-15,2019-05-15,67863.37
KROGER associates,200875006,2020-02-28,2020-02-28,2020-02-28,100627.5
BJ'S  us,200726979,2019-07-29,2019-07-29,2019-07-29,82.82
US  corporation,200357714,2019-03-08,2019-03-08,2019-03-08,29787.27
INN systems,100030855,2019-08-20,2019-08-20,2019-08-20,62559.09
WAL-MAR co,200769623,2019-12-04,2019-12-04,2019-12-04,4474.85
NASH  systems,200777735,2020-02-13,2020-02-13,2020-02-13,95459.23
ASSOCIAT associates,200772670,2019-12-02,2019-12-02,2019-12-02,1785.92
GENERAL foundation,200763489,2019-10-30,2019-10-30,2019-10-30,23855.49
KRAFT  associates,CCCA02,2019-05-31,2019-05-31,2019-05-31,16068.0
COLABOR  co,140104340,2019-05-30,2019-05-30,2019-05-30,53399.91
WAL-MAR systems,200769623,2019-06-14,2019-06-14,2019-06-14,7512.31
M corporation,200793830,2019-02-27,2019-02-27,2019-02-27,5115.17
MCL foundation,200799367,2019-06-28,2019-06-28,2019-06-28,642.1
MITCH ,200799342,2020-01-31,2020-01-31,2020-01-31,132641.68
SUPE foundation,200936373,2019-06-26,2019-06-26,2019-06-26,34138.25
QUI systems,200742791,2020-03-12,2020-03-12,2020-03-12,25647.72
WAL-MAR corp,200769623,2020-03-12,2020-03-12,,15821.8
WAL-MAR foundation,200769623,2019-07-24,2019-07-24,2019-07-24,13250.79
KROG foundation,200749782,2019-07-24,2019-07-24,,55672.73
SA trust,200759878,2019-04-22,2019-04-22,2019-04-22,28097.54
KROG trust,200609331,2019-05-10,2019-05-10,2019-05-10,2067.04
WAL-MAR in,200769623,2019-07-01,2019-07-01,2019-07-01,8770.03
COSTCO systems,140104429,2019-07-01,2019-07-01,,73531.6
WAL-MAR in,200769623,2019-08-21,2019-08-21,2019-08-21,11537.9
SMITH'S associates,200820380,2019-12-23,2019-12-23,2019-12-23,9517.02
BJ'S  systems,200726979,2019-12-23,2019-12-23,,233.65
CARIB us,100043903,2019-10-29,2019-10-29,2019-10-29,14287.2
WAL-MAR foundation,200769623,2019-12-09,2019-12-09,2019-12-09,10390.5
COST corp,200794332,2019-06-20,2019-06-20,2019-06-20,6006.78
MEIJ corp,200780383,2019-05-20,2019-05-20,2019-05-20,6496.69
THE  systems,140106181,2019-06-18,2019-06-18,2019-06-18,2916.0
DI systems,200769369,2020-02-24,2020-02-24,2020-02-24,1587.98
SYSC corp,140105686,2019-03-28,2019-03-28,2019-03-28,39.15
WAL-MAR llc,200769623,2019-07-11,2019-07-11,2019-07-11,11018.28
WAL-MAR corp,200769623,2019-05-16,2019-05-16,2019-05-16,19725.46
ASSOCIAT foundation,200772670,2019-08-19,2019-08-19,2019-08-19,5448.2
SYSCO IN foundation,100009932,2019-03-19,2019-03-19,2019-03-19,17067.96
CHAR co,200744584,2019-06-20,2019-06-20,2019-06-20,15554.58
SAFEW corp,200772595,2019-06-20,2019-06-20,,31277.0
MITCH ,200799342,2019-08-06,2019-08-06,2019-08-06,126609.6
RESTA trust,200974851,2019-01-18,2019-01-18,2019-01-18,3612.91
C&S WH corp,200762301,2019-09-26,2019-09-26,2019-09-26,83991.45
DOLLA trust,200148860,2019-01-15,2019-01-15,2019-01-15,63196.9
DELHAIZE foundation,100031704,2019-01-15,2019-01-15,,85743.32
SYSCO FO associates,200780825,2019-08-26,2019-08-26,2019-08-26,3774.86
RASTEL trust,200040366,2019-07-15,2019-07-15,2019-07-15,31596.25
MEIJ llc,200780383,2019-07-15,2019-07-15,,116037.15
RA corp,200704045,2019-07-15,2019-07-15,,44492.26
WAL-MAR foundation,200769623,2019-09-25,2019-09-25,2019-09-25,22689.4
M  ,200424504,2019-08-16,2019-08-16,2019-08-16,27035.87
DOLLARA trust,140105508,2019-09-09,2019-09-09,2019-09-09,103858.2
HT HAC in,100013928,2019-10-16,2019-10-16,2019-10-16,6808.6
PANAMEX  in,100036060,2019-03-11,2019-03-11,2019-03-11,13619.6
WAL-MAR ,200769623,2019-12-03,2019-12-03,2019-12-03,896.53
SMART &  ,200707741,2019-12-03,2019-12-03,,52781.03
MONDE systems,140142846,2019-12-03,2019-12-03,,1704.33
COST trust,200794332,2019-06-27,2019-06-27,2019-06-27,8041.59
SYSCO  corp,200714710,2019-02-08,2019-02-08,2019-02-08,23898.15
PERFOR foundation,200722444,2019-07-01,2019-07-01,2019-07-01,41721.6
HOME R foundation,100043949,2019-07-01,2019-07-01,,16992.76
DOLLA llc,200148860,2019-01-31,2019-01-31,2019-01-31,96983.84
DECA us,200353024,2019-01-31,2019-01-31,,13699.41
OK ,200739534,2020-02-28,2020-02-28,2020-02-28,69300.01
WAL-MAR corp,200769623,2019-10-16,2019-10-16,2019-10-16,45963.54
DELHAIZE corp,100031704,2019-11-13,2019-11-13,2019-11-13,84253.72
JRD systems,200781803,2019-11-08,2019-11-08,2019-11-08,15745.95
TARG foundation,200744019,2019-11-08,2019-11-08,,29299.88
WAL-MAR in,200769623,2019-07-09,2019-07-09,2019-07-09,43774.7
NATURA associates,100030964,2019-07-09,2019-07-09,,3699.75
TARG corp,200744019,2019-07-09,2019-07-09,,364.61
C&S WH corporation,200762301,2019-07-09,2019-07-09,,21577.53
ATLANT ,140106293,2019-11-12,2019-11-12,2019-11-12,27.48
C&S WH in,200762301,2019-12-05,2019-12-05,2019-12-05,20571.89
BJ'S  co,200726979,2019-12-05,2019-12-05,,33.18
DOLLA corp,200148860,2019-08-01,2019-08-01,2019-08-01,118678.22
WAL-MAR us,200769623,2020-02-27,2020-02-27,2020-02-27,7934.92
DELHAIZE trust,100031704,2019-04-22,2019-04-22,2019-04-22,68376.55
C&S WH systems,200762301,2019-04-22,2019-04-22,,59900.08
NEWE foundation,200326954,2019-04-22,2019-04-22,,71635.49
WAL-MAR corp,200769623,2020-01-24,2020-01-24,2020-01-24,142.22
BOZZU in,200779906,2019-11-08,2019-11-08,2019-11-08,63319.1
C trust,200778870,2019-01-25,2019-01-25,2019-01-25,2125.56
WAL-MAR llc,200769623,2019-02-13,2019-02-13,2019-02-13,16157.02
MEIJ corp,200780383,2020-01-30,2020-01-30,2020-01-30,54781.23
WAL-MAR co,200769623,2019-06-06,2019-06-06,2019-06-06,11468.17
AM associates,200418007,2019-07-11,2019-07-11,2019-07-11,231.29
SO foundation,140104440,2019-07-11,2019-07-11,,133813.19
DECA llc,200353024,2019-07-11,2019-07-11,,1540.78
BJ'S  llc,200726979,2019-08-12,2019-08-12,2019-08-12,15549.01
WAL-MAR llc,200769623,2019-08-12,2019-08-12,,44577.48
G T  associates,140106372,2019-08-12,2019-08-12,,5840.29
SYSCO  llc,200764795,2020-02-03,2020-02-03,2020-02-03,26731.82
WAL-MAR in,200769623,2019-06-11,2019-06-11,2019-06-11,15473.3
SMITH'S corp,200820380,2019-07-22,2019-07-22,2019-07-22,18129.15
RA systems,200704045,2019-07-22,2019-07-22,,102303.99
MBM  in,200754278,2019-02-25,2019-02-25,2019-02-25,23720.53
MDV/ co,200792734,2019-03-25,2019-03-25,2019-03-25,31869.82
GORDO corporation,200782001,2019-03-25,2019-03-25,,32888.11
WAL-MAR foundation,200769623,2019-12-09,2019-12-09,2019-12-09,102015.16
MITCH foundation,200799342,2019-12-09,2019-12-09,,15113.01
WAL-MAR corporation,200769623,2019-12-09,2019-12-09,,10675.81
BJ'S  foundation,200726979,2019-12-09,2019-12-09,,14423.21
C&S WH in,200762301,2019-03-26,2019-03-26,2019-03-26,135797.21
SUPE systems,200793568,2019-08-22,2019-08-22,2019-08-22,73225.02
THE  llc,140106181,2020-04-08,2020-04-08,2020-04-08,13993.2
COSTCO systems,140104429,2019-08-14,2019-08-14,2019-08-14,15855.84
WAL-MAR corporation,200769623,2019-09-23,2019-09-23,2019-09-23,29863.01
BJ'S  corporation,200726979,2019-05-24,2019-05-24,2019-05-24,15278.07
DEC corp,200020431,2019-05-16,2019-05-16,2019-05-16,1524.66
SA ,200759878,2019-09-18,2019-09-18,2019-09-18,80021.88
GO corp,200721222,2019-09-18,2019-09-18,,22656.86
WAL-MAR ,200769623,2019-11-26,2019-11-26,2019-11-26,16047.84
BJ'S  foundation,200726979,2019-05-07,2019-05-07,2019-05-07,27.6
WAL-MAR ,200769623,2019-02-11,2019-02-11,2019-02-11,41455.95
QUI co,200742791,2019-02-11,2019-02-11,,28641.07
WINC co,200706844,2020-02-24,2020-02-24,2020-02-24,49323.3
POST  co,200439158,2020-02-24,2020-02-24,,17916.0
MEIJ associates,200780383,2019-08-28,2019-08-28,2019-08-28,158149.11
MEIJ corporation,200780383,2019-08-15,2019-08-15,2019-08-15,8652.11
ASSOCIAT associates,200772670,2019-07-12,2019-07-12,2019-07-12,300.1
WAL-MAR corp,200769623,2019-07-12,2019-07-12,,12923.42
COSTCO trust,140104429,2019-06-04,2019-06-04,2019-06-04,47943.25
US  trust,200789077,2020-02-24,2020-02-24,2020-02-24,62961.69
BJ'S  foundation,200726979,2019-03-29,2019-03-29,2019-03-29,157174.55
KING S associates,200707005,2019-04-08,2019-04-08,2019-04-08,14071.69
HAR llc,200762950,2019-05-22,2019-05-22,2019-05-22,128006.44
TARG co,200744019,2019-10-22,2019-10-22,2019-10-22,1480.7
DEC trust,200020431,2019-03-25,2019-03-25,2019-03-25,9625.6
WAL-M systems,140106408,2019-04-05,2019-04-05,2019-04-05,64087.2
WAL-MAR associates,200769623,2019-11-13,2019-11-13,2019-11-13,943.12
KEURIG ,100032284,2020-02-26,2020-02-26,2020-02-26,13504.5
WAL-MAR ,200769623,2019-10-01,2019-10-01,2019-10-01,16203.45
COST foundation,200794332,2019-04-23,2019-04-23,2019-04-23,20557.14
KING S in,200707005,2019-02-15,2019-02-15,2019-02-15,10838.1
DELHAIZE in,100031704,2019-07-22,2019-07-22,2019-07-22,96060.76
HEARTHSI llc,200399141,2020-04-23,2020-04-23,2020-04-23,10579.75
WAL-MAR in,200769623,2019-04-30,2019-04-30,2019-04-30,49560.03
TARG in,200744019,2020-01-21,2020-01-21,2020-01-21,4959.16
HAR systems,200762950,2019-06-28,2019-06-28,2019-06-28,66098.74
WEGMAN trust,200711029,2020-02-13,2020-02-13,2020-02-13,50510.02
KROGER co,200875006,2019-02-04,2019-02-04,2019-02-04,105205.07
WEGMAN co,200987178,2020-02-26,2020-02-26,2020-02-26,40074.48
H Y LO corp,140104223,2020-03-02,2020-03-02,2020-03-02,41514.65
WAL-MAR foundation,200769623,2019-03-06,2019-03-06,2019-03-06,19306.2
DECA llc,200353024,2019-11-27,2019-11-27,2019-11-27,4696.04
MCL corporation,200799367,2019-04-08,2019-04-08,2019-04-08,2545.8
BJ'S  ,200726979,2019-09-30,2019-09-30,2019-09-30,487.17
WAL-MAR systems,200769623,2020-03-05,2020-03-05,2020-03-05,7351.77
TARG systems,200744019,2019-08-13,2019-08-13,2019-08-13,677.38
WAL-MAR llc,200769623,2019-08-13,2019-08-13,,65219.82
ASSOCIAT co,200772670,2019-08-13,2019-08-13,,23583.65
WINC corporation,200706844,2019-08-13,2019-08-13,,1891.01
WAL-MAR trust,200769623,2019-08-13,2019-08-13,,9903.98
H E BUT associates,200761734,2019-02-22,2019-02-22,2019-02-22,34746.06
